# genelist,criteria,,,
# All CSR-1 targets ≥ 1 RPM,≥ 1 RPM in IP and log2FC (IP/Input) ≥ 1,,,
# CSR-1 targets 1-50 RPM ,1- 50 RPM in IP and log2FC (IP/Input) ≥ 1,,,
# CSR-1 targets  50-150 RPM,50-150 RPM in IP and log2FC (IP/Input) ≥ 1,,,
# CSR-1 targets ≥ 150 RPM,≥ 150 RPM in IP and log2FC (IP/Input) ≥ 1,,,
# CSR-1 protected targets,log2FC ≤ -0.5 in GRO-seq CSR-1 KO vs CSR-1 ADH,,,
# CSR-1 sliced targets,log2FC ≥1 in RNA-seq CSR-1 ADH vs WT and log2FC ≤-1 total sRNAs CSR-1 ADH vs WT for CSR-1 targets,,,
# HRDE-1 loaded P granule dependent piRNA targets,"≥ 1 RPM in IP and log2FC (IP/Input) ≥ 0.5 AND log2FC (P granule RNAi/control) ≤ -2 AND piRNA-dependent 22G-RNA protein-coding targets (Barucci et.al., 2020)",,,
genes encoding for tRNAs,Unnamed: 1,Input,Suggested Match,History
WBGene00022894,,WBGene00022894,WBGene00022894,History: N.A.
WBGene00010733,,WBGene00010733,WBGene00010733,History: N.A.
WBGene00022912,,WBGene00022912,WBGene00022912,History: N.A.
WBGene00014318,,WBGene00014318,WBGene00014318,History: N.A.
WBGene00014340,,WBGene00014340,WBGene00014340,History: N.A.
WBGene00013918,,WBGene00013918,WBGene00013918,History: N.A.
WBGene00014287,,WBGene00014287,WBGene00014287,History: N.A.
WBGene00014269,,WBGene00014269,WBGene00014269,History: N.A.
WBGene00014292,,WBGene00014292,WBGene00014292,History: N.A.
WBGene00014263,,WBGene00014263,WBGene00014263,History: N.A.
WBGene00022915,,WBGene00022915,WBGene00022915,History: N.A.
WBGene00014275,,WBGene00014275,WBGene00014275,History: N.A.
WBGene00006333,,WBGene00006333,WBGene00006333,History: N.A.
WBGene00022978,,WBGene00022978,WBGene00022978,History: N.A.
WBGene00022945,,WBGene00022945,WBGene00022945,History: N.A.
WBGene00014333,,WBGene00014333,WBGene00014333,History: N.A.
WBGene00014342,,WBGene00014342,WBGene00014342,History: N.A.
WBGene00022925,,WBGene00022925,WBGene00022925,History: N.A.
WBGene00014283,,WBGene00014283,WBGene00014283,History: N.A.
WBGene00022989,,WBGene00022989,WBGene00022989,History: N.A.
WBGene00022939,,WBGene00022939,WBGene00022939,History: N.A.
WBGene00022976,,WBGene00022976,WBGene00022976,History: N.A.
WBGene00022992,,WBGene00022992,WBGene00022992,History: N.A.
WBGene00022972,,WBGene00022972,WBGene00022972,History: N.A.
WBGene00022965,,WBGene00022965,WBGene00022965,History: N.A.
WBGene00006316,,WBGene00006316,WBGene00006316,History: N.A.
WBGene00014320,,WBGene00014320,WBGene00014320,History: N.A.
WBGene00022959,,WBGene00022959,WBGene00022959,History: N.A.
WBGene00014323,,WBGene00014323,WBGene00014323,History: N.A.
WBGene00013993,,WBGene00013993,WBGene00013993,History: N.A.
WBGene00014324,,WBGene00014324,WBGene00014324,History: N.A.
WBGene00014295,,WBGene00014295,WBGene00014295,History: N.A.
WBGene00011346,,WBGene00011346,WBGene00011346,History: N.A.
WBGene00010430,,WBGene00010430,WBGene00010430,History: N.A.
WBGene00022908,,WBGene00022908,WBGene00022908,History: N.A.
WBGene00022933,,WBGene00022933,WBGene00022933,History: N.A.
WBGene00022901,,WBGene00022901,WBGene00022901,History: N.A.
WBGene00014282,,WBGene00014282,WBGene00014282,History: N.A.
WBGene00022909,,WBGene00022909,WBGene00022909,History: N.A.
WBGene00014298,,WBGene00014298,WBGene00014298,History: N.A.
WBGene00014268,,WBGene00014268,WBGene00014268,History: N.A.
WBGene00000310,,WBGene00000310,WBGene00000310,History: N.A.
WBGene00022897,,WBGene00022897,WBGene00022897,History: N.A.
WBGene00014305,,WBGene00014305,WBGene00014305,History: N.A.
WBGene00014304,,WBGene00014304,WBGene00014304,History: N.A.
WBGene00014313,,WBGene00014313,WBGene00014313,History: N.A.
WBGene00022943,,WBGene00022943,WBGene00022943,History: N.A.
WBGene00014279,,WBGene00014279,WBGene00014279,History: N.A.
WBGene00022931,,WBGene00022931,WBGene00022931,History: N.A.
WBGene00022975,,WBGene00022975,WBGene00022975,History: N.A.
WBGene00014315,,WBGene00014315,WBGene00014315,History: N.A.
WBGene00022984,,WBGene00022984,WBGene00022984,History: N.A.
WBGene00014286,,WBGene00014286,WBGene00014286,History: N.A.
WBGene00013010,,WBGene00013010,WBGene00013010,History: N.A.
WBGene00014271,,WBGene00014271,WBGene00014271,History: N.A.
WBGene00006338,,WBGene00006338,WBGene00006338,History: N.A.
WBGene00022956,,WBGene00022956,WBGene00022956,History: N.A.
WBGene00012377,,WBGene00012377,WBGene00012377,History: N.A.
WBGene00014274,,WBGene00014274,WBGene00014274,History: N.A.
WBGene00014302,,WBGene00014302,WBGene00014302,History: N.A.
WBGene00014264,,WBGene00014264,WBGene00014264,History: N.A.
WBGene00010431,,WBGene00010431,WBGene00010431,History: N.A.
WBGene00022964,,WBGene00022964,WBGene00022964,History: N.A.
WBGene00022991,,WBGene00022991,WBGene00022991,History: N.A.
WBGene00022994,,WBGene00022994,WBGene00022994,History: N.A.
WBGene00014273,,WBGene00014273,WBGene00014273,History: N.A.
WBGene00014376,,WBGene00014376,WBGene00014376,History: N.A.
WBGene00023019,,WBGene00023019,WBGene00023019,History: N.A.
WBGene00023028,,WBGene00023028,WBGene00023028,History: N.A.
WBGene00023007,,WBGene00023007,WBGene00023007,History: N.A.
WBGene00023015,,WBGene00023015,WBGene00023015,History: N.A.
WBGene00023102,,WBGene00023102,WBGene00023102,History: N.A.
WBGene00023086,,WBGene00023086,WBGene00023086,History: N.A.
WBGene00014365,,WBGene00014365,WBGene00014365,History: N.A.
WBGene00014438,,WBGene00014438,WBGene00014438,History: N.A.
WBGene00023016,,WBGene00023016,WBGene00023016,History: N.A.
WBGene00014427,,WBGene00014427,WBGene00014427,History: N.A.
WBGene00014360,,WBGene00014360,WBGene00014360,History: N.A.
WBGene00014449,,WBGene00014449,WBGene00014449,History: N.A.
WBGene00023038,,WBGene00023038,WBGene00023038,History: N.A.
WBGene00023056,,WBGene00023056,WBGene00023056,History: N.A.
WBGene00014354,,WBGene00014354,WBGene00014354,History: N.A.
WBGene00014351,,WBGene00014351,WBGene00014351,History: N.A.
WBGene00014347,,WBGene00014347,WBGene00014347,History: N.A.
WBGene00023002,,WBGene00023002,WBGene00023002,History: N.A.
WBGene00014446,,WBGene00014446,WBGene00014446,History: N.A.
WBGene00022998,,WBGene00022998,WBGene00022998,History: N.A.
WBGene00014436,,WBGene00014436,WBGene00014436,History: N.A.
WBGene00014389,,WBGene00014389,WBGene00014389,History: N.A.
WBGene00014385,,WBGene00014385,WBGene00014385,History: N.A.
WBGene00023031,,WBGene00023031,WBGene00023031,History: N.A.
WBGene00023095,,WBGene00023095,WBGene00023095,History: N.A.
WBGene00023073,,WBGene00023073,WBGene00023073,History: N.A.
WBGene00014426,,WBGene00014426,WBGene00014426,History: N.A.
WBGene00023058,,WBGene00023058,WBGene00023058,History: N.A.
WBGene00023043,,WBGene00023043,WBGene00023043,History: N.A.
WBGene00023109,,WBGene00023109,WBGene00023109,History: N.A.
WBGene00023005,,WBGene00023005,WBGene00023005,History: N.A.
WBGene00014440,,WBGene00014440,WBGene00014440,History: N.A.
WBGene00023014,,WBGene00023014,WBGene00023014,History: N.A.
WBGene00023107,,WBGene00023107,WBGene00023107,History: N.A.
WBGene00023052,,WBGene00023052,WBGene00023052,History: N.A.
WBGene00023082,,WBGene00023082,WBGene00023082,History: N.A.
WBGene00023009,,WBGene00023009,WBGene00023009,History: N.A.
WBGene00014442,,WBGene00014442,WBGene00014442,History: N.A.
WBGene00023018,,WBGene00023018,WBGene00023018,History: N.A.
WBGene00014378,,WBGene00014378,WBGene00014378,History: N.A.
WBGene00014358,,WBGene00014358,WBGene00014358,History: N.A.
WBGene00023074,,WBGene00023074,WBGene00023074,History: N.A.
WBGene00014408,,WBGene00014408,WBGene00014408,History: N.A.
WBGene00014387,,WBGene00014387,WBGene00014387,History: N.A.
WBGene00023060,,WBGene00023060,WBGene00023060,History: N.A.
WBGene00023050,,WBGene00023050,WBGene00023050,History: N.A.
WBGene00014362,,WBGene00014362,WBGene00014362,History: N.A.
WBGene00022999,,WBGene00022999,WBGene00022999,History: N.A.
WBGene00014410,,WBGene00014410,WBGene00014410,History: N.A.
WBGene00014416,,WBGene00014416,WBGene00014416,History: N.A.
WBGene00014429,,WBGene00014429,WBGene00014429,History: N.A.
WBGene00023061,,WBGene00023061,WBGene00023061,History: N.A.
WBGene00014419,,WBGene00014419,WBGene00014419,History: N.A.
WBGene00023075,,WBGene00023075,WBGene00023075,History: N.A.
WBGene00014348,,WBGene00014348,WBGene00014348,History: N.A.
WBGene00023000,,WBGene00023000,WBGene00023000,History: N.A.
WBGene00023026,,WBGene00023026,WBGene00023026,History: N.A.
WBGene00023115,,WBGene00023115,WBGene00023115,History: N.A.
WBGene00014359,,WBGene00014359,WBGene00014359,History: N.A.
WBGene00023088,,WBGene00023088,WBGene00023088,History: N.A.
WBGene00023063,,WBGene00023063,WBGene00023063,History: N.A.
WBGene00014343,,WBGene00014343,WBGene00014343,History: N.A.
WBGene00023090,,WBGene00023090,WBGene00023090,History: N.A.
WBGene00023085,,WBGene00023085,WBGene00023085,History: N.A.
WBGene00023081,,WBGene00023081,WBGene00023081,History: N.A.
WBGene00023004,,WBGene00023004,WBGene00023004,History: N.A.
WBGene00023022,,WBGene00023022,WBGene00023022,History: N.A.
WBGene00023097,,WBGene00023097,WBGene00023097,History: N.A.
WBGene00023055,,WBGene00023055,WBGene00023055,History: N.A.
WBGene00023034,,WBGene00023034,WBGene00023034,History: N.A.
WBGene00009527,,WBGene00009527,WBGene00009527,History: N.A.
WBGene00008135,,WBGene00008135,WBGene00008135,History: N.A.
WBGene00014147,,WBGene00014147,WBGene00014147,History: N.A.
WBGene00022934,,WBGene00022934,WBGene00022934,History: N.A.
WBGene00022954,,WBGene00022954,WBGene00022954,History: N.A.
WBGene00014297,,WBGene00014297,WBGene00014297,History: N.A.
WBGene00014299,,WBGene00014299,WBGene00014299,History: N.A.
WBGene00000311,,WBGene00000311,WBGene00000311,History: N.A.
WBGene00014321,,WBGene00014321,WBGene00014321,History: N.A.
WBGene00022952,,WBGene00022952,WBGene00022952,History: N.A.
WBGene00022985,,WBGene00022985,WBGene00022985,History: N.A.
WBGene00022967,,WBGene00022967,WBGene00022967,History: N.A.
WBGene00022923,,WBGene00022923,WBGene00022923,History: N.A.
WBGene00022997,,WBGene00022997,WBGene00022997,History: N.A.
WBGene00022980,,WBGene00022980,WBGene00022980,History: N.A.
WBGene00006327,,WBGene00006327,WBGene00006327,History: N.A.
WBGene00022948,,WBGene00022948,WBGene00022948,History: N.A.
WBGene00012752,,WBGene00012752,WBGene00012752,History: N.A.
WBGene00022995,,WBGene00022995,WBGene00022995,History: N.A.
WBGene00011470,,WBGene00011470,WBGene00011470,History: N.A.
WBGene00022899,,WBGene00022899,WBGene00022899,History: N.A.
WBGene00014334,,WBGene00014334,WBGene00014334,History: N.A.
WBGene00014332,,WBGene00014332,WBGene00014332,History: N.A.
WBGene00004708,,WBGene00004708,WBGene00004708,History: N.A.
WBGene00022902,,WBGene00022902,WBGene00022902,History: N.A.
WBGene00010376,,WBGene00010376,WBGene00010376,History: N.A.
WBGene00014301,,WBGene00014301,WBGene00014301,History: N.A.
WBGene00006314,,WBGene00006314,WBGene00006314,History: N.A.
WBGene00022929,,WBGene00022929,WBGene00022929,History: N.A.
WBGene00022914,,WBGene00022914,WBGene00022914,History: N.A.
WBGene00000308,,WBGene00000308,WBGene00000308,History: N.A.
WBGene00010276,,WBGene00010276,WBGene00010276,History: N.A.
WBGene00022981,,WBGene00022981,WBGene00022981,History: N.A.
WBGene00014126,,WBGene00014126,WBGene00014126,History: N.A.
WBGene00022947,,WBGene00022947,WBGene00022947,History: N.A.
WBGene00022969,,WBGene00022969,WBGene00022969,History: N.A.
WBGene00012292,,WBGene00012292,WBGene00012292,History: N.A.
WBGene00022966,,WBGene00022966,WBGene00022966,History: N.A.
WBGene00022927,,WBGene00022927,WBGene00022927,History: N.A.
WBGene00022913,,WBGene00022913,WBGene00022913,History: N.A.
WBGene00010777,,WBGene00010777,WBGene00010777,History: N.A.
WBGene00022996,,WBGene00022996,WBGene00022996,History: N.A.
WBGene00014330,,WBGene00014330,WBGene00014330,History: N.A.
WBGene00014319,,WBGene00014319,WBGene00014319,History: N.A.
WBGene00014314,,WBGene00014314,WBGene00014314,History: N.A.
WBGene00022906,,WBGene00022906,WBGene00022906,History: N.A.
WBGene00008104,,WBGene00008104,WBGene00008104,History: N.A.
WBGene00022961,,WBGene00022961,WBGene00022961,History: N.A.
WBGene00022941,,WBGene00022941,WBGene00022941,History: N.A.
WBGene00014270,,WBGene00014270,WBGene00014270,History: N.A.
WBGene00013948,,WBGene00013948,WBGene00013948,History: N.A.
WBGene00014328,,WBGene00014328,WBGene00014328,History: N.A.
WBGene00014296,,WBGene00014296,WBGene00014296,History: N.A.
WBGene00022950,,WBGene00022950,WBGene00022950,History: N.A.
WBGene00014327,,WBGene00014327,WBGene00014327,History: N.A.
WBGene00022900,,WBGene00022900,WBGene00022900,History: N.A.
WBGene00022903,,WBGene00022903,WBGene00022903,History: N.A.
WBGene00014341,,WBGene00014341,WBGene00014341,History: N.A.
WBGene00022935,,WBGene00022935,WBGene00022935,History: N.A.
WBGene00022955,,WBGene00022955,WBGene00022955,History: N.A.
WBGene00022977,,WBGene00022977,WBGene00022977,History: N.A.
WBGene00022937,,WBGene00022937,WBGene00022937,History: N.A.
WBGene00022960,,WBGene00022960,WBGene00022960,History: N.A.
WBGene00009555,,WBGene00009555,WBGene00009555,History: N.A.
WBGene00014284,,WBGene00014284,WBGene00014284,History: N.A.
WBGene00014443,,WBGene00014443,WBGene00014443,History: N.A.
WBGene00023093,,WBGene00023093,WBGene00023093,History: N.A.
WBGene00023047,,WBGene00023047,WBGene00023047,History: N.A.
WBGene00014388,,WBGene00014388,WBGene00014388,History: N.A.
WBGene00023040,,WBGene00023040,WBGene00023040,History: N.A.
WBGene00014424,,WBGene00014424,WBGene00014424,History: N.A.
WBGene00014400,,WBGene00014400,WBGene00014400,History: N.A.
WBGene00014437,,WBGene00014437,WBGene00014437,History: N.A.
WBGene00014409,,WBGene00014409,WBGene00014409,History: N.A.
WBGene00023032,,WBGene00023032,WBGene00023032,History: N.A.
WBGene00023103,,WBGene00023103,WBGene00023103,History: N.A.
WBGene00023079,,WBGene00023079,WBGene00023079,History: N.A.
WBGene00014413,,WBGene00014413,WBGene00014413,History: N.A.
WBGene00014396,,WBGene00014396,WBGene00014396,History: N.A.
WBGene00235251,,WBGene00235251,WBGene00235251,History: N.A.
WBGene00023070,,WBGene00023070,WBGene00023070,History: N.A.
WBGene00014386,,WBGene00014386,WBGene00014386,History: N.A.
WBGene00023059,,WBGene00023059,WBGene00023059,History: N.A.
WBGene00023024,,WBGene00023024,WBGene00023024,History: N.A.
WBGene00014363,,WBGene00014363,WBGene00014363,History: N.A.
WBGene00023001,,WBGene00023001,WBGene00023001,History: N.A.
WBGene00014379,,WBGene00014379,WBGene00014379,History: N.A.
WBGene00023089,,WBGene00023089,WBGene00023089,History: N.A.
WBGene00014445,,WBGene00014445,WBGene00014445,History: N.A.
WBGene00014373,,WBGene00014373,WBGene00014373,History: N.A.
WBGene00023105,,WBGene00023105,WBGene00023105,History: N.A.
WBGene00014417,,WBGene00014417,WBGene00014417,History: N.A.
WBGene00014377,,WBGene00014377,WBGene00014377,History: N.A.
WBGene00023051,,WBGene00023051,WBGene00023051,History: N.A.
WBGene00023035,,WBGene00023035,WBGene00023035,History: N.A.
WBGene00023010,,WBGene00023010,WBGene00023010,History: N.A.
WBGene00014384,,WBGene00014384,WBGene00014384,History: N.A.
WBGene00023023,,WBGene00023023,WBGene00023023,History: N.A.
WBGene00023098,,WBGene00023098,WBGene00023098,History: N.A.
WBGene00014399,,WBGene00014399,WBGene00014399,History: N.A.
WBGene00023049,,WBGene00023049,WBGene00023049,History: N.A.
WBGene00023096,,WBGene00023096,WBGene00023096,History: N.A.
WBGene00023101,,WBGene00023101,WBGene00023101,History: N.A.
WBGene00023100,,WBGene00023100,WBGene00023100,History: N.A.
WBGene00014390,,WBGene00014390,WBGene00014390,History: N.A.
WBGene00014353,,WBGene00014353,WBGene00014353,History: N.A.
WBGene00023077,,WBGene00023077,WBGene00023077,History: N.A.
WBGene00014380,,WBGene00014380,WBGene00014380,History: N.A.
WBGene00023042,,WBGene00023042,WBGene00023042,History: N.A.
WBGene00023017,,WBGene00023017,WBGene00023017,History: N.A.
WBGene00014420,,WBGene00014420,WBGene00014420,History: N.A.
WBGene00023099,,WBGene00023099,WBGene00023099,History: N.A.
WBGene00023080,,WBGene00023080,WBGene00023080,History: N.A.
WBGene00023054,,WBGene00023054,WBGene00023054,History: N.A.
WBGene00014345,,WBGene00014345,WBGene00014345,History: N.A.
WBGene00023113,,WBGene00023113,WBGene00023113,History: N.A.
WBGene00014428,,WBGene00014428,WBGene00014428,History: N.A.
WBGene00023087,,WBGene00023087,WBGene00023087,History: N.A.
WBGene00014423,,WBGene00014423,WBGene00014423,History: N.A.
WBGene00014361,,WBGene00014361,WBGene00014361,History: N.A.
WBGene00023045,,WBGene00023045,WBGene00023045,History: N.A.
WBGene00014356,,WBGene00014356,WBGene00014356,History: N.A.
WBGene00023122,,WBGene00023122,WBGene00023122,History: N.A.
WBGene00023203,,WBGene00023203,WBGene00023203,History: N.A.
WBGene00014590,,WBGene00014590,WBGene00014590,History: N.A.
WBGene00014524,,WBGene00014524,WBGene00014524,History: N.A.
WBGene00014478,,WBGene00014478,WBGene00014478,History: N.A.
WBGene00023166,,WBGene00023166,WBGene00023166,History: N.A.
WBGene00023130,,WBGene00023130,WBGene00023130,History: N.A.
WBGene00023202,,WBGene00023202,WBGene00023202,History: N.A.
WBGene00014487,,WBGene00014487,WBGene00014487,History: N.A.
WBGene00014620,,WBGene00014620,WBGene00014620,History: N.A.
WBGene00023211,,WBGene00023211,WBGene00023211,History: N.A.
WBGene00014603,,WBGene00014603,WBGene00014603,History: N.A.
WBGene00014502,,WBGene00014502,WBGene00014502,History: N.A.
WBGene00014627,,WBGene00014627,WBGene00014627,History: N.A.
WBGene00014525,,WBGene00014525,WBGene00014525,History: N.A.
WBGene00014573,,WBGene00014573,WBGene00014573,History: N.A.
WBGene00023221,,WBGene00023221,WBGene00023221,History: N.A.
WBGene00014572,,WBGene00014572,WBGene00014572,History: N.A.
WBGene00014546,,WBGene00014546,WBGene00014546,History: N.A.
WBGene00014499,,WBGene00014499,WBGene00014499,History: N.A.
WBGene00014561,,WBGene00014561,WBGene00014561,History: N.A.
WBGene00014592,,WBGene00014592,WBGene00014592,History: N.A.
WBGene00023174,,WBGene00023174,WBGene00023174,History: N.A.
WBGene00014531,,WBGene00014531,WBGene00014531,History: N.A.
WBGene00014508,,WBGene00014508,WBGene00014508,History: N.A.
WBGene00014482,,WBGene00014482,WBGene00014482,History: N.A.
WBGene00023156,,WBGene00023156,WBGene00023156,History: N.A.
WBGene00014519,,WBGene00014519,WBGene00014519,History: N.A.
WBGene00014529,,WBGene00014529,WBGene00014529,History: N.A.
WBGene00014583,,WBGene00014583,WBGene00014583,History: N.A.
WBGene00014617,,WBGene00014617,WBGene00014617,History: N.A.
WBGene00014539,,WBGene00014539,WBGene00014539,History: N.A.
WBGene00023148,,WBGene00023148,WBGene00023148,History: N.A.
WBGene00023152,,WBGene00023152,WBGene00023152,History: N.A.
WBGene00023210,,WBGene00023210,WBGene00023210,History: N.A.
WBGene00014560,,WBGene00014560,WBGene00014560,History: N.A.
WBGene00023171,,WBGene00023171,WBGene00023171,History: N.A.
WBGene00023140,,WBGene00023140,WBGene00023140,History: N.A.
WBGene00014605,,WBGene00014605,WBGene00014605,History: N.A.
WBGene00014570,,WBGene00014570,WBGene00014570,History: N.A.
WBGene00014481,,WBGene00014481,WBGene00014481,History: N.A.
WBGene00014618,,WBGene00014618,WBGene00014618,History: N.A.
WBGene00014513,,WBGene00014513,WBGene00014513,History: N.A.
WBGene00014574,,WBGene00014574,WBGene00014574,History: N.A.
WBGene00014558,,WBGene00014558,WBGene00014558,History: N.A.
WBGene00235252,,WBGene00235252,WBGene00235252,History: N.A.
WBGene00014548,,WBGene00014548,WBGene00014548,History: N.A.
WBGene00014490,,WBGene00014490,WBGene00014490,History: N.A.
WBGene00014609,,WBGene00014609,WBGene00014609,History: N.A.
WBGene00023157,,WBGene00023157,WBGene00023157,History: N.A.
WBGene00014496,,WBGene00014496,WBGene00014496,History: N.A.
WBGene00014485,,WBGene00014485,WBGene00014485,History: N.A.
WBGene00014582,,WBGene00014582,WBGene00014582,History: N.A.
WBGene00023220,,WBGene00023220,WBGene00023220,History: N.A.
WBGene00014637,,WBGene00014637,WBGene00014637,History: N.A.
WBGene00023141,,WBGene00023141,WBGene00023141,History: N.A.
WBGene00014474,,WBGene00014474,WBGene00014474,History: N.A.
WBGene00014640,,WBGene00014640,WBGene00014640,History: N.A.
WBGene00023181,,WBGene00023181,WBGene00023181,History: N.A.
WBGene00014498,,WBGene00014498,WBGene00014498,History: N.A.
WBGene00014527,,WBGene00014527,WBGene00014527,History: N.A.
WBGene00023200,,WBGene00023200,WBGene00023200,History: N.A.
WBGene00014536,,WBGene00014536,WBGene00014536,History: N.A.
WBGene00014532,,WBGene00014532,WBGene00014532,History: N.A.
WBGene00014515,,WBGene00014515,WBGene00014515,History: N.A.
WBGene00023216,,WBGene00023216,WBGene00023216,History: N.A.
WBGene00014607,,WBGene00014607,WBGene00014607,History: N.A.
WBGene00023164,,WBGene00023164,WBGene00023164,History: N.A.
WBGene00023048,,WBGene00023048,WBGene00023048,History: N.A.
WBGene00014369,,WBGene00014369,WBGene00014369,History: N.A.
WBGene00014344,,WBGene00014344,WBGene00014344,History: N.A.
WBGene00023062,,WBGene00023062,WBGene00023062,History: N.A.
WBGene00023033,,WBGene00023033,WBGene00023033,History: N.A.
